date,text
2024-12-06 14:37:28+00:00,"**Stock Gainers (SEBI REGISTERED)
****⭐️****Live Analysis of 6th DEC

1. OPTION ANALYSIS

CHAMBAL FERTILIZER 450CE 19 TO 24****🔥****
CESE 8.8 TO 10
ZOMATO 300CE 10.7 TO 12.5****🔥****
PAYTM 980CE 30 TO 40****🔥****
PAYTM 1000CE 35 TO 40****🔥****
VEDANTA 500CE 15.5 TO 17.5****🔥**** 


2. STOCK FUTURE & EQUITY CASH ANALYSIS

DBEIL  190 TO 197****🔥****
ARKA DEVELOPERS 176 TO 181
VIMTALAB 960 TO 945****➖****




Note: Those who are tracking our Live Analysis please read our disclaimer.

Focus On the Right Analysis

   FOR PRIME  MEMBERSHIP
           PING ****@SG005****✔️**"
2024-12-06 09:47:38+00:00,"Bullish On 
Angel ONE via Option"
2024-12-06 09:45:09+00:00,ANGEL ONE
2024-12-06 09:44:19+00:00,ANGEL ONE
2024-12-06 09:44:15+00:00,ONE STOCK READY FOR DECENT BREAKOUT
2024-12-06 09:29:57+00:00,"Deepak Builders 

Towards day High 

Keep riding this"
2024-12-06 09:29:21+00:00,"ZOMATO 

300CE

10.7 to 12.5 🔥 

Trail support 10.7"
2024-12-06 09:28:39+00:00,"Bank Of Baroda 

Ready for breakout"
2024-12-06 09:21:43+00:00,17.5 🔥
2024-12-06 08:49:11+00:00,"POSITIONAL OPTION BUYING 

VEDANTA 500CE

CMP 15.5

Support 12

Expected 18-22-27


**Disclaimer :-
Above calls are Not Buy or Sell Levels,These opinions are for educational purposes only, based on research. Consult your financial advisor before investing.**"
2024-12-06 08:32:08+00:00,"ALL ABOVE FEEDBACKS ARE NOT JUST RESULT OF OUR HARD WORK

BUT SHOWS PASSION OF PRIME TRADERS AND THEIR DISCIPLINE TRADING.

LOVE YOU ALL
Let's meet on Monday
we still have 3 weeks this year ✅✅✅✅

Have a great weekend!🎉"
2024-12-06 08:29:23+00:00,
2024-12-06 08:27:17+00:00,"TO BE PART OF 
PRIME GROUP
, PING @SG005 ✅✅👍"
2024-12-06 08:25:51+00:00,
2024-12-06 08:25:09+00:00,
2024-12-06 08:24:52+00:00,
2024-12-06 08:23:51+00:00,"`WE ARE ENDIND WEEK` JUST LIKE EVERY OTHER TRADER

BUT IT WAS A BIT DIFFERENT FOR STOCK GAINERS PRIME TRADERS 🥰🥰🥰😎"
2024-12-06 06:59:32+00:00,"TO JOIN PRIME, Ping @SG005 ✅✅"
2024-12-06 06:59:11+00:00,"WHAT A Aag 🔥🔥🔥🔥❤️

CONGRATULATIONS ON FANTASTIC WEEK 👏 🙌"
2024-12-06 06:54:59+00:00,"PAYTM 

Again 🔥 

40 🔥"
2024-12-06 06:50:06+00:00,"MCX
Towards buyers
Circuit"
2024-12-06 06:48:40+00:00,"Look

PAYTM 🔥 

NOW"
